rank,layer,neuron,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
156,25,11921,0.0020685195922851562,0.0020685195922851562,0.0020685195922851562,0.0013349325163289905,1.0,1.0,1.5495312213897705
157,16,14185,-0.0020685195922851562,0.0020685195922851562,0.0020685195922851562,0.0007998792571015656,0.0,1.0,2.5860397815704346
158,7,10909,-0.0020685046911239624,0.0020685046911239624,0.002144560217857361,0.0036688498221337795,0.5,0.5,0.5638019442558289
159,29,4265,-0.00206756591796875,0.00206756591796875,0.00206756591796875,0.0005762844812124968,0.0,1.0,3.587752103805542
160,31,5178,0.00206756591796875,0.00206756591796875,0.00206756591796875,0.0007817244622856379,1.0,1.0,2.6448781490325928
161,18,3261,-0.002067089080810547,0.002067089080810547,0.002144336700439453,0.0017669814405962825,0.25,0.75,1.169842004776001
162,20,4772,0.002063751220703125,0.002063751220703125,0.002063751220703125,0.0006424679304473102,1.0,1.0,3.2122244834899902
163,17,6950,0.0020599365234375,0.0020599365234375,0.0020599365234375,0.0005736523307859898,1.0,1.0,3.590914487838745
164,14,4589,0.002056121826171875,0.002056121826171875,0.002056121826171875,0.0013911620480939746,1.0,1.0,1.4779887199401855
165,16,10855,-0.002052024006843567,0.002052024006843567,0.002052024006843567,0.0014054832281544805,0.0,1.0,1.4600131511688232
166,28,6596,-0.002044677734375,0.002044677734375,0.002044677734375,0.0005818382487632334,0.0,1.0,3.5141687393188477
167,18,13165,-0.002033233642578125,0.002033233642578125,0.002033233642578125,0.0004817556473426521,0.0,1.0,4.220466613769531
168,9,12002,0.002032727003097534,0.002032727003097534,0.002041369676589966,0.001836782437749207,0.75,0.75,1.1066781282424927
169,28,2570,-0.0020313262939453125,0.0020313262939453125,0.0020313262939453125,0.0005735349841415882,0.0,1.0,3.5417652130126953
170,24,8613,-0.0020275115966796875,0.0020275115966796875,0.0020275115966796875,0.000329761765897274,0.0,1.0,6.148413181304932
171,16,654,0.0020275115966796875,0.0020275115966796875,0.0020275115966796875,0.00127375905867666,1.0,1.0,1.59175443649292
172,19,1520,-0.0020265579223632812,0.0020265579223632812,0.0020265579223632812,0.0030261294450610876,0.0,1.0,0.6696864366531372
173,12,6358,0.0020265579223632812,0.0020265579223632812,0.0020265579223632812,0.0010071934666484594,1.0,1.0,2.0120840072631836
174,18,3031,-0.002025604248046875,0.002025604248046875,0.002025604248046875,0.00041143945418298244,0.0,1.0,4.923213481903076
175,16,2995,0.0020236968994140625,0.0020236968994140625,0.0020236968994140625,0.0006491125095635653,1.0,1.0,3.1176366806030273
176,23,13369,0.00202178955078125,0.00202178955078125,0.00202178955078125,0.0008510280749760568,1.0,1.0,2.3757026195526123
177,25,13289,0.0020189285278320312,0.0020189285278320312,0.0020189285278320312,0.0008881340036168694,1.0,1.0,2.2732250690460205
178,31,5441,-0.002017974853515625,0.002017974853515625,0.002017974853515625,0.0006071124225854874,0.0,1.0,3.323889970779419
179,23,9380,0.0020170211791992188,0.0020170211791992188,0.0020170211791992188,0.0010658286046236753,1.0,1.0,1.8924442529678345
180,15,13318,-0.0020160675048828125,0.0020160675048828125,0.0020160675048828125,0.00020910492457915097,0.0,1.0,9.6414155960083
181,31,124,-0.0020122528076171875,0.0020122528076171875,0.0020122528076171875,0.00044455137685872614,0.0,1.0,4.526479721069336
182,29,2252,-0.002010345458984375,0.002010345458984375,0.002010345458984375,0.0004884749068878591,0.0,1.0,4.115555286407471
183,18,3876,0.00200653076171875,0.00200653076171875,0.00200653076171875,0.0002456854563206434,1.0,1.0,8.167071342468262
184,29,9595,-0.002002716064453125,0.002002716064453125,0.002002716064453125,0.0006384235457517207,0.0,1.0,3.1369707584381104
185,19,6090,-0.0019989013671875,0.0019989013671875,0.0019989013671875,0.00045107080950401723,0.0,1.0,4.431457996368408
186,17,13012,-0.0019903182983398438,0.0019903182983398438,0.0019903182983398438,0.0014801182551309466,0.0,1.0,1.3447022438049316
