rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
125,31,5178,supports_refusal,0.047119140625,0.047119140625,0.047119140625,0.0,1.0,1.0
126,31,455,suppresses_refusal,-0.046630859375,0.046630859375,0.046630859375,0.0,0.0,1.0
127,3,6390,supports_refusal,0.04638671875,0.04638671875,0.04638671875,0.0,1.0,1.0
128,30,2226,suppresses_refusal,-0.046142578125,0.046142578125,0.046142578125,0.0,0.0,1.0
129,31,786,supports_refusal,0.045654296875,0.045654296875,0.045654296875,0.0,1.0,1.0
130,3,2145,supports_refusal,0.045654296875,0.045654296875,0.045654296875,0.0,1.0,1.0
131,31,2750,suppresses_refusal,-0.045166015625,0.045166015625,0.045166015625,0.0,0.0,1.0
132,30,11268,supports_refusal,0.044677734375,0.044677734375,0.044677734375,0.0,1.0,1.0
133,29,3852,supports_refusal,0.044677734375,0.044677734375,0.044677734375,0.0,1.0,1.0
134,31,3730,supports_refusal,0.04443359375,0.04443359375,0.04443359375,0.0,1.0,1.0
135,31,1919,supports_refusal,0.04443359375,0.04443359375,0.04443359375,0.0,1.0,1.0
136,27,11734,suppresses_refusal,-0.04443359375,0.04443359375,0.04443359375,0.0,0.0,1.0
137,29,12858,suppresses_refusal,-0.0439453125,0.0439453125,0.0439453125,0.0,0.0,1.0
138,10,6759,supports_refusal,0.0439453125,0.0439453125,0.0439453125,0.0,1.0,1.0
139,31,9171,suppresses_refusal,-0.04345703125,0.04345703125,0.04345703125,0.0,0.0,1.0
140,31,3387,supports_refusal,0.04345703125,0.04345703125,0.04345703125,0.0,1.0,1.0
141,30,8614,suppresses_refusal,-0.04296875,0.04296875,0.04296875,0.0,0.0,1.0
142,6,5866,suppresses_refusal,-0.04296875,0.04296875,0.04296875,0.0,0.0,1.0
143,24,6776,supports_refusal,0.042724609375,0.042724609375,0.042724609375,0.0,1.0,1.0
144,31,8118,suppresses_refusal,-0.042724609375,0.042724609375,0.042724609375,0.0,0.0,1.0
145,30,3744,supports_refusal,0.04248046875,0.04248046875,0.04248046875,0.0,1.0,1.0
146,30,4350,supports_refusal,0.04248046875,0.04248046875,0.04248046875,0.0,1.0,1.0
147,31,1186,supports_refusal,0.04248046875,0.04248046875,0.04248046875,0.0,1.0,1.0
148,15,13528,supports_refusal,0.042236328125,0.042236328125,0.042236328125,0.0,1.0,1.0
