rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
73,20,5237,supports_cannot,0.0038390601985156,0.0038390601985156,0.0038403384387493,0.0035026117693632,0.9948453903198242,0.9948453903198242,1.0960564613342283
74,18,8592,supports_cannot,0.0037526593077927,0.0037526593077927,0.0037632775492966,0.0026605683378875,0.9948453903198242,0.9948453903198242,1.4104728698730469
79,26,11941,supports_cannot,0.0036251072306185,0.0036251072306185,0.0037543252110481,0.0046629547141492,0.92268043756485,0.92268043756485,0.777427077293396
80,17,1632,supports_cannot,0.0036143285688012,0.0036143285688012,0.0036365997511893,0.0038069896399974,0.9896907210350036,0.9896907210350036,0.949392795562744
83,23,2343,supports_cannot,0.0035506573040038,0.0035506573040038,0.0035506573040038,0.0041603329591453,1.0,1.0,0.8534550666809082
87,24,13102,supports_cannot,0.0034750318154692,0.0034750318154692,0.0034750318154692,0.0026245326735079,1.0,1.0,1.3240573406219482
88,22,7399,supports_cannot,0.0034276382066309,0.0034276382066309,0.0034289164468646,0.0032384102232754,0.9948453903198242,0.9948453903198242,1.0584323406219482
90,28,12743,supports_cannot,0.0034124825615435,0.0034124825615435,0.0034124825615435,0.0034781959839165,1.0,1.0,0.9811070561408995
91,30,12394,supports_cannot,0.0034065197687596,0.0034065197687596,0.0036248865071684,0.0044933785684406,0.907216489315033,0.907216489315033,0.7581199407577515
92,18,3236,supports_cannot,0.0034038652665913,0.0034038652665913,0.0034190355800092,0.0042066401802003,0.984536111354828,0.984536111354828,0.809164822101593
93,30,11618,supports_cannot,0.0033735590986907,0.0033735590986907,0.0033735590986907,0.0030812209006398,1.0,1.0,1.0948773622512815
96,28,3057,supports_cannot,0.0033002833370119,0.0033002833370119,0.0033002833370119,0.0025975406169891,1.0,1.0,1.2705415487289429
98,31,2153,supports_cannot,0.0032509283628314,0.0032509283628314,0.0032509283628314,0.0027968143112957,1.0,1.0,1.1623682975769043
99,15,5080,supports_cannot,0.0032170703634619,0.0032170703634619,0.0032170703634619,0.0050504012033343,1.0,1.0,0.6369930505752563
100,16,6772,supports_cannot,0.0032143446151167,0.0032143446151167,0.0032335359137505,0.0034708338789641,0.9896907210350036,0.9896907210350036,0.926101565361023
101,14,1406,supports_cannot,0.0031590720172971,0.0031590720172971,0.0031774104572832,0.0046930923126637,0.9793814420700072,0.9793814420700072,0.6731323003768921
103,18,11215,supports_cannot,0.0031208009459078,0.0031208009459078,0.0031208009459078,0.0029901890084147,1.0,1.0,1.043680191040039
104,28,13790,supports_cannot,0.0031118490733206,0.0031118490733206,0.0031118490733206,0.0025929531548172,1.0,1.0,1.2001177072525024
106,30,7545,supports_cannot,0.0030762117821723,0.0030762117821723,0.0030809161253273,0.0033378601074218,0.9896907210350036,0.9896907210350036,0.9216119647026062
107,28,9628,supports_cannot,0.0030566342175006,0.0030566342175006,0.0030566342175006,0.0022802115418016,1.0,1.0,1.3405046463012695
108,19,14046,supports_cannot,0.0030476986430585,0.0030476986430585,0.0030548118520528,0.0036785141564905,0.984536111354828,0.984536111354828,0.828513503074646
109,16,2995,supports_cannot,0.0030359681695699,0.0030359681695699,0.0030359681695699,0.0027095682453364,1.0,1.0,1.1204619407653809
112,24,9569,supports_cannot,0.0030268037226051,0.0030268037226051,0.0030507168266922,0.0032798028551042,0.9793814420700072,0.9793814420700072,0.9228614568710328
114,28,7737,supports_cannot,0.0030086163897067,0.0030086163897067,0.0030086163897067,0.002202037256211,1.0,1.0,1.3662877082824707
117,29,90,supports_cannot,0.0029796718154102,0.0029796718154102,0.0029796718154102,0.0028358043637126,1.0,1.0,1.0507324934005735
118,15,6918,supports_cannot,0.002972878050059,0.002972878050059,0.002972878050059,0.0034248542506247,1.0,1.0,0.8680305480957031
120,23,12181,supports_cannot,0.0029413606971502,0.0029413606971502,0.0030040747951716,0.0032209628261625,0.9329897165298462,0.9329897165298462,0.9131929874420166
121,16,3884,supports_cannot,0.0029164049774408,0.0029164049774408,0.0029164049774408,0.0026011031586676,1.0,1.0,1.12121844291687
122,23,1498,supports_cannot,0.0028977345209568,0.0028977345209568,0.0028977345209568,0.0022860160097479,1.0,1.0,1.2675914764404297
125,14,12563,supports_cannot,0.0028493183199316,0.0028493183199316,0.0028557679615914,0.0026548393070697,0.9948453903198242,0.9948453903198242,1.0732545852661133
128,20,8323,supports_cannot,0.0028329633641988,0.0028329633641988,0.0028329633641988,0.0026799186598509,1.0,1.0,1.057107925415039
133,28,10351,supports_cannot,0.0027824973221868,0.0027824973221868,0.0027824973221868,0.0020511036273092,1.0,1.0,1.3565853834152222
135,27,1686,supports_cannot,0.0027744057588279,0.0027744057588279,0.0027744057588279,0.0021151737309992,1.0,1.0,1.311668038368225
136,28,7137,supports_cannot,0.0027697160840034,0.0027697160840034,0.0027697160840034,0.0016999575309455,1.0,1.0,1.629285454750061
137,31,5178,supports_cannot,0.0027636892627924,0.0027636892627924,0.0027636892627924,0.0028942206408828,1.0,1.0,0.9548993110656738
139,23,4769,supports_cannot,0.0027423740830272,0.0027423740830272,0.0027423740830272,0.0021103136241436,1.0,1.0,1.2995102405548096
140,31,287,supports_cannot,0.0027376990765333,0.0027376990765333,0.0027434015646576,0.0018696943297982,0.9948453903198242,0.9948453903198242,1.4642494916915894
146,25,12046,supports_cannot,0.0026974924840033,0.0026974924840033,0.0026974924840033,0.0031020292080938,1.0,1.0,0.869589626789093
148,31,10850,supports_cannot,0.0026676238048821,0.0026676238048821,0.0026676238048821,0.0020779855549335,1.0,1.0,1.2837547063827517
149,16,11992,supports_cannot,0.002658630721271,0.002658630721271,0.0027253204025328,0.0053624659776687,0.8865979313850403,0.8865979313850403,0.4957850873470306
150,31,7267,supports_cannot,0.0026559855323284,0.0026559855323284,0.0028219739906489,0.0027324720285832,0.9793814420700072,0.9793814420700072,0.9720082879066468
151,19,12151,supports_cannot,0.0026555676013231,0.0026555676013231,0.0027123948093503,0.001873112283647,0.984536111354828,0.984536111354828,1.4177300930023191
152,30,1754,supports_cannot,0.0026523845735937,0.0026523845735937,0.0026523845735937,0.0019676384981721,1.0,1.0,1.3480039834976196
156,1,2427,supports_cannot,0.0026281450409442,0.0026281450409442,0.0028350555803626,0.0045985211618244,0.907216489315033,0.907216489315033,0.5715196132659912
158,31,10459,supports_cannot,0.0026216604746878,0.0026216604746878,0.0026216604746878,0.0031893262639641,1.0,1.0,0.8220107555389404
161,20,88,supports_cannot,0.002614306518808,0.002614306518808,0.002614306518808,0.0021608143579214,1.0,1.0,1.2098709344863892
163,31,10014,supports_cannot,0.0026041674427688,0.0026041674427688,0.0026041674427688,0.0023752690758556,1.0,1.0,1.096367359161377
