rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_ig,positive_fraction,sign_consistency,snr
128,31,5369,suppresses_cannot,-0.0003049235383514,0.0003049235383514,0.0003049235383514,0.0002740225463639,0.0,1.0,1.112768054008484
130,25,12935,suppresses_cannot,-0.0003034454130101,0.0003034454130101,0.0003034454130101,0.0002131810324499,0.0,1.0,1.4234166145324707
131,29,9595,suppresses_cannot,-0.0003027501225005,0.0003027501225005,0.0003027501225005,0.0002741054922807,0.0,1.0,1.1045022010803225
135,28,6596,suppresses_cannot,-0.0003006562765222,0.0003006562765222,0.0003006562765222,0.0002947682805825,0.0,1.0,1.019974946975708
137,31,3387,suppresses_cannot,-0.0002976112009491,0.0002976112009491,0.000315193348797,0.0002901282568927,0.041237112134695,0.9587628841400146,1.025791883468628
141,22,3766,suppresses_cannot,-0.0002958187833428,0.0002958187833428,0.0003008089843206,0.000297461025184,0.0515463910996913,0.9484536051750184,0.9944791197776794
144,18,9220,suppresses_cannot,-0.0002906970621552,0.0002906970621552,0.0002906970621552,0.0002427057625027,0.0,1.0,1.1977344751358032
145,15,5862,suppresses_cannot,-0.0002906903100665,0.0002906903100665,0.0002983805316034,0.0002966789179481,0.041237112134695,0.9587628841400146,0.9798145294189452
146,31,2085,suppresses_cannot,-0.0002894336939789,0.0002894336939789,0.0002915598161052,0.0002843975380528,0.0154639175161719,0.984536111354828,1.0177081823349
148,31,10716,suppresses_cannot,-0.0002881138061638,0.0002881138061638,0.0002881138061638,0.0003637490153778,0.0,1.0,0.7920675873756409
149,30,12336,suppresses_cannot,-0.0002878231462091,0.0002878231462091,0.0002878231462091,0.0002310083073098,0.0,1.0,1.2459428310394287
150,14,12421,suppresses_cannot,-0.0002854389604181,0.0002854389604181,0.0002855391358025,0.0004509809077717,0.0103092780336737,0.9896907210350036,0.6329291462898254
152,14,1559,suppresses_cannot,-0.0002847175637725,0.0002847175637725,0.0003083701594732,0.0003651479200925,0.0567010305821895,0.9432989954948424,0.7797321081161499
155,16,9495,suppresses_cannot,-0.0002839872613549,0.0002839872613549,0.0003029575163964,0.0003682315291371,0.0257731955498456,0.9742268323898317,0.7712193131446838
156,29,10790,suppresses_cannot,-0.0002839083026628,0.0002839083026628,0.0002839083026628,0.0002089351473841,0.0,1.0,1.3588346242904663
157,13,2776,suppresses_cannot,-0.0002839048975147,0.0002839048975147,0.0002842993999365,0.0003582998760975,0.0206185560673475,0.9793814420700072,0.7923667430877686
158,31,5441,suppresses_cannot,-0.0002816847991198,0.0002816847991198,0.0002816847991198,0.0002545594761613,0.0,1.0,1.106557846069336
160,10,11152,suppresses_cannot,-0.0002810632577165,0.0002810632577165,0.000490219623316,0.0008675117860548,0.3814432919025421,0.6185567378997803,0.3239878118038177
162,15,8354,suppresses_cannot,-0.000279305211734,0.000279305211734,0.0002985507599078,0.0008668202790431,0.2474226802587509,0.7525773048400879,0.322218120098114
164,31,124,suppresses_cannot,-0.0002778857597149,0.0002778857597149,0.0002778857597149,0.0002407186111668,0.0,1.0,1.1544008255004885
166,21,10170,suppresses_cannot,-0.0002761673822533,0.0002761673822533,0.0003364915610291,0.0003634523309301,0.1391752511262893,0.8608247637748718,0.7598448395729065
168,29,841,suppresses_cannot,-0.0002739257470238,0.0002739257470238,0.0002886861911974,0.0002545920142438,0.0154639175161719,0.984536111354828,1.0759400129318235
172,23,5722,suppresses_cannot,-0.0002715009904932,0.0002715009904932,0.0002715009904932,0.0002622700412757,0.0,1.0,1.035196304321289
175,31,11861,suppresses_cannot,-0.0002701537450775,0.0002701537450775,0.0002701537450775,0.000246365671046,0.0,1.0,1.0965559482574463
177,25,5676,suppresses_cannot,-0.0002693567657843,0.0002693567657843,0.0002693567657843,0.000227372162044,0.0,1.0,1.184651494026184
181,30,2226,suppresses_cannot,-0.0002666810178197,0.0002666810178197,0.0002666810178197,0.0002498204703442,0.0,1.0,1.0674906969070437
182,19,6569,suppresses_cannot,-0.0002664748462848,0.0002664748462848,0.0002664963540155,0.0002857271756511,0.0051546390168368,0.9948453903198242,0.9326198697090148
185,18,3261,suppresses_cannot,-0.0002654465206433,0.0002654465206433,0.0003095109423156,0.0005826790584251,0.22164948284626,0.7783505320549011,0.4555621445178985
187,15,7441,suppresses_cannot,-0.0002627065405249,0.0002627065405249,0.0002891728654503,0.0004098615027032,0.0773195847868919,0.92268043756485,0.640964150428772
188,15,8697,suppresses_cannot,-0.0002626444911584,0.0002626444911584,0.0003055801207665,0.000438673683675,0.1185567006468772,0.8814433217048645,0.5987240672111511
189,26,9692,suppresses_cannot,-0.0002619055740069,0.0002619055740069,0.0002619055740069,0.0002783166710287,0.0,1.0,0.9410344362258912
190,20,5512,suppresses_cannot,-0.000260553730186,0.000260553730186,0.000260553730186,0.000231240177527,0.0,1.0,1.1267666816711426
191,27,6091,suppresses_cannot,-0.0002592359669506,0.0002592359669506,0.0002592359669506,0.0002238229790236,0.0,1.0,1.1582187414169312
193,29,4265,suppresses_cannot,-0.0002589631185401,0.0002589631185401,0.0002589631185401,0.0002179208240704,0.0,1.0,1.1883357763290403
195,20,11425,suppresses_cannot,-0.000258642976405,0.000258642976405,0.000258642976405,0.0003957625012844,0.0,1.0,0.6535307765007019
200,16,6901,suppresses_cannot,-0.0002529525954741,0.0002529525954741,0.0002614600816741,0.0003433616657275,0.041237112134695,0.9587628841400146,0.7366943359375
201,24,8362,suppresses_cannot,-0.0002528115583118,0.0002528115583118,0.0002528115583118,0.0002153700479539,0.0,1.0,1.1738473176956177
202,21,5297,suppresses_cannot,-0.0002525313757359,0.0002525313757359,0.000273099867627,0.0002681431360542,0.0567010305821895,0.9432989954948424,0.9417782425880432
208,24,5048,suppresses_cannot,-0.0002505078737158,0.0002505078737158,0.0002505078737158,0.000265210022917,0.0,1.0,0.9445641040802002
209,15,13318,suppresses_cannot,-0.0002503275172784,0.0002503275172784,0.0002509469341021,0.0002270653349114,0.0051546390168368,0.9948453903198242,1.1024470329284668
211,22,5804,suppresses_cannot,-0.0002492767525836,0.0002492767525836,0.0002553619560785,0.0003423258312977,0.0206185560673475,0.9793814420700072,0.7281856536865234
213,28,2570,suppresses_cannot,-0.0002488026802893,0.0002488026802893,0.0002488026802893,0.0002175543340854,0.0,1.0,1.1436346769332886
214,18,7152,suppresses_cannot,-0.0002469758328516,0.0002469758328516,0.0002469758328516,0.0002352159062866,0.0,1.0,1.049996256828308
